(S(NP(NP(DT a)(NN boy))(PP(IN with)(NP(DT a)(NN telescope))))(VP(VBD saw)(NP(DT a)(NN girl))))
0.0006581609925896034
DT # 1 # 1 # 0.666667 # 0.000987
DT # 4 # 4 # 0.666667 # 0.000987
DT # 7 # 7 # 0.666667 # 0.000987
IN # 3 # 3 # 1.000000 # 0.000658
NN # 2 # 2 # 0.333333 # 0.001974
NN # 5 # 5 # 0.333333 # 0.001974
NN # 8 # 8 # 0.333333 # 0.001974
NP # 1 # 2 # 0.190476 # 0.003455
NP # 1 # 5 # 0.005183 # 0.126984
NP # 4 # 5 # 0.190476 # 0.003455
NP # 7 # 8 # 0.190476 # 0.003455
PP # 3 # 5 # 0.190476 # 0.003455
S # 1 # 8 # 0.000658 # 1.000000
VBD # 6 # 6 # 1.000000 # 0.000658
VP # 6 # 8 # 0.126984 # 0.005183
